Loan_ID,Customer ID,ApplicantIncome,CoapplicantIncome,Property_Area,Loan_Status
LP001865,IP43261,6083,4250,Urban,Y
LP001868,IP43262,2060,2209,Semiurban,Y
LP001870,IP43263,3481,0,Semiurban,N
LP001871,IP43264,7200,0,Rural,Y
LP001872,IP43265,5166,0,Semiurban,Y
LP001875,IP43266,4095,3447,Rural,Y
LP001877,IP43267,4708,1387,Semiurban,Y
LP001882,IP43268,4333,1811,Urban,Y
LP001883,IP43269,3418,0,Rural,N
LP001884,IP43270,2876,1560,Urban,Y
LP001888,IP43271,3237,0,Urban,Y
LP001891,IP43272,11146,0,Urban,Y
LP001892,IP43273,2833,1857,Rural,Y
LP001894,IP43274,2620,2223,Semiurban,Y
LP001896,IP43275,3900,0,Semiurban,Y
LP001900,IP43276,2750,1842,Semiurban,Y
LP001903,IP43277,3993,3274,Semiurban,Y
LP001904,IP43278,3103,1300,Urban,Y
LP001907,IP43279,14583,0,Semiurban,Y
LP001908,IP43280,4100,0,Rural,Y
LP001910,IP43281,4053,2426,Urban,N
LP001914,IP43282,3927,800,Semiurban,Y
LP001915,IP43283,2301,985.7999878,Urban,Y
LP001917,IP43284,1811,1666,Urban,Y
LP001922,IP43285,20667,0,Rural,N
LP001924,IP43286,3158,3053,Rural,Y
LP001925,IP43287,2600,1717,Semiurban,N
LP001926,IP43288,3704,2000,Rural,Y
LP001931,IP43289,4124,0,Semiurban,Y
LP001935,IP43290,9508,0,Rural,Y
LP001936,IP43291,3075,2416,Rural,Y
LP001938,IP43292,4400,0,Semiurban,N
LP001940,IP43293,3153,1560,Urban,Y
LP001945,IP43294,5417,0,Urban,N
LP001947,IP43295,2383,3334,Semiurban,Y
LP001949,IP43296,4416,1250,Urban,Y
LP001953,IP43297,6875,0,Semiurban,Y
LP001954,IP43298,4666,0,Urban,Y
LP001955,IP43299,5000,2541,Rural,N
LP001963,IP43300,2014,2925,Urban,N
LP001964,IP43301,1800,2934,Urban,N
LP001972,IP43302,2875,1750,Semiurban,Y
LP001974,IP43303,5000,0,Rural,Y
LP001977,IP43304,1625,1803,Urban,Y
LP001978,IP43305,4000,2500,Rural,Y
LP001990,IP43306,2000,0,Urban,N
LP001993,IP43307,3762,1666,Rural,Y
LP001994,IP43308,2400,1863,Urban,N
LP001996,IP43309,20233,0,Rural,N
LP001998,IP43310,7667,0,Rural,Y
LP002002,IP43311,2917,0,Semiurban,Y
LP002004,IP43312,2927,2405,Semiurban,Y
LP002006,IP43313,2507,0,Rural,Y
LP002008,IP43314,5746,0,Rural,Y
LP002024,IP43315,2473,1843,Rural,N
LP002031,IP43316,3399,1640,Urban,Y
LP002035,IP43317,3717,0,Semiurban,Y
LP002036,IP43318,2058,2134,Urban,Y
LP002043,IP43319,3541,0,Semiurban,Y
LP002050,IP43320,10000,0,Rural,N
LP002051,IP43321,2400,2167,Semiurban,Y
LP002053,IP43322,4342,189,Semiurban,Y
LP002054,IP43323,3601,1590,Rural,Y
LP002055,IP43324,3166,2985,Rural,Y
LP002065,IP43325,15000,0,Rural,Y
LP002067,IP43326,8666,4983,Rural,N
LP002068,IP43327,4917,0,Rural,Y
LP002082,IP43328,5818,2160,Semiurban,Y
LP002086,IP43329,4333,2451,Urban,N
LP002087,IP43330,2500,0,Urban,Y
LP002097,IP43331,4384,1793,Urban,Y
LP002098,IP43332,2935,0,Semiurban,Y
LP002100,IP43333,2833,0,Urban,Y
LP002101,IP43334,63337,0,Urban,Y
LP002103,IP43335,9833,1833,Urban,Y
LP002106,IP43336,5503,4490,Semiurban,Y
LP002110,IP43337,5250,688,Rural,Y
LP002112,IP43338,2500,4600,Rural,Y
LP002113,IP43339,1830,0,Urban,N
LP002114,IP43340,4160,0,Semiurban,Y
LP002115,IP43341,2647,1587,Rural,N
LP002116,IP43342,2378,0,Rural,N
LP002119,IP43343,4554,1229,Urban,Y
LP002126,IP43344,3173,0,Semiurban,Y
LP002128,IP43345,2583,2330,Rural,Y
LP002129,IP43346,2499,2458,Semiurban,Y
LP002130,IP43347,3523,3230,Rural,N
LP002131,IP43348,3083,2168,Urban,Y
LP002137,IP43349,6333,4583,Semiurban,Y
LP002138,IP43350,2625,6250,Rural,Y
LP002139,IP43351,9083,0,Semiurban,Y
LP002140,IP43352,8750,4167,Rural,N
LP002141,IP43353,2666,2083,Rural,Y
LP002142,IP43354,5500,0,Rural,N
LP002143,IP43355,2423,505,Semiurban,Y
LP002144,IP43356,3813,0,Urban,Y
LP002149,IP43357,8333,3167,Rural,Y
LP002151,IP43358,3875,0,Urban,N
LP002158,IP43359,3000,1666,Urban,N
LP002160,IP43360,5167,3167,Semiurban,Y
LP002161,IP43361,4723,0,Semiurban,N
LP002170,IP43362,5000,3667,Semiurban,Y
LP002175,IP43363,4750,2333,Urban,Y
LP002178,IP43364,3013,3033,Urban,Y
LP002180,IP43365,6822,0,Rural,Y
LP002181,IP43366,6216,0,Rural,N
LP002187,IP43367,2500,0,Semiurban,N
LP002188,IP43368,5124,0,Rural,N
LP002190,IP43369,6325,0,Semiurban,Y
LP002191,IP43370,19730,5266,Rural,N
LP002194,IP43371,15759,0,Semiurban,Y
LP002197,IP43372,5185,0,Semiurban,Y
LP002201,IP43373,9323,7873,Rural,Y
LP002205,IP43374,3062,1987,Urban,N
LP002209,IP43375,2764,1459,Urban,Y
LP002211,IP43376,4817,923,Urban,Y
LP002219,IP43377,8750,4996,Rural,Y
LP002223,IP43378,4310,0,Semiurban,Y
LP002224,IP43379,3069,0,Urban,N
LP002225,IP43380,5391,0,Urban,Y
LP002226,IP43381,3333,2500,Semiurban,Y
LP002229,IP43382,5941,4232,Semiurban,Y
LP002231,IP43383,6000,0,Urban,Y
LP002234,IP43384,7167,0,Urban,Y
LP002236,IP43385,4566,0,Urban,N
LP002237,IP43386,3667,0,Urban,Y
LP002239,IP43387,2346,1600,Semiurban,Y
LP002243,IP43388,3010,3136,Urban,N
LP002244,IP43389,2333,2417,Urban,Y
LP002250,IP43390,5488,0,Rural,Y
LP002255,IP43391,9167,0,Rural,Y
LP002262,IP43392,9504,0,Rural,Y
LP002263,IP43393,2583,2115,Urban,Y
LP002265,IP43394,1993,1625,Semiurban,Y
LP002266,IP43395,3100,1400,Urban,Y
LP002272,IP43396,3276,484,Semiurban,Y
LP002277,IP43397,3180,0,Urban,N
LP002281,IP43398,3033,1459,Urban,Y
LP002284,IP43399,3902,1666,Rural,Y
LP002287,IP43400,1500,1800,Semiurban,N
LP002288,IP43401,2889,0,Urban,N
LP002296,IP43402,2755,0,Rural,N
LP002297,IP43403,2500,20000,Semiurban,Y
LP002300,IP43404,1963,0,Semiurban,Y
LP002301,IP43405,7441,0,Rural,N
LP002305,IP43406,4547,0,Semiurban,Y
LP002308,IP43407,2167,2400,Urban,Y
LP002314,IP43408,2213,0,Rural,Y
LP002315,IP43409,8300,0,Semiurban,N
LP002317,IP43410,81000,0,Rural,N
LP002318,IP43411,3867,0,Semiurban,N
LP002319,IP43412,6256,0,Urban,Y
LP002328,IP43413,6096,0,Rural,N
LP002332,IP43414,2253,2033,Rural,Y
LP002335,IP43415,2149,3237,Semiurban,N
LP002337,IP43416,2995,0,Urban,Y
LP002341,IP43417,2600,0,Urban,N
LP002342,IP43418,1600,20000,Urban,N
LP002345,IP43419,1025,2773,Rural,Y
LP002347,IP43420,3246,1417,Semiurban,Y
LP002348,IP43421,5829,0,Rural,Y
LP002357,IP43422,2720,0,Urban,N
LP002361,IP43423,1820,1719,Urban,Y
LP002362,IP43424,7250,1667,Urban,N
LP002364,IP43425,14880,0,Semiurban,Y
LP002366,IP43426,2666,4300,Rural,Y
LP002367,IP43427,4606,0,Rural,N
LP002368,IP43428,5935,0,Semiurban,Y
LP002369,IP43429,2920,16.12000084,Rural,Y
LP002370,IP43430,2717,0,Urban,Y
LP002377,IP43431,8624,0,Semiurban,Y
LP002379,IP43432,6500,0,Rural,N
LP002386,IP43433,12876,0,Semiurban,Y
LP002387,IP43434,2425,2340,Semiurban,Y
LP002390,IP43435,3750,0,Urban,Y
LP002393,IP43436,10047,0,Semiurban,Y
LP002398,IP43437,1926,1851,Semiurban,Y
LP002401,IP43438,2213,1125,Urban,Y
LP002403,IP43439,10416,0,Urban,N
LP002407,IP43440,7142,0,Rural,Y
LP002408,IP43441,3660,5064,Semiurban,Y
LP002409,IP43442,7901,1833,Rural,Y
LP002418,IP43443,4707,1993,Semiurban,Y
LP002422,IP43444,37719,0,Semiurban,Y
LP002424,IP43445,7333,8333,Rural,Y
LP002429,IP43446,3466,1210,Rural,Y
LP002434,IP43447,4652,0,Rural,Y
LP002435,IP43448,3539,1376,Rural,N
LP002443,IP43449,3340,1710,Rural,N
LP002444,IP43450,2769,1542,Semiurban,N
LP002446,IP43451,2309,1255,Rural,N
LP002447,IP43452,1958,1456,Urban,Y
LP002448,IP43453,3948,1733,Rural,N
LP002449,IP43454,2483,2466,Rural,Y
LP002453,IP43455,7085,0,Semiurban,Y
LP002455,IP43456,3859,0,Semiurban,Y
LP002459,IP43457,4301,0,Urban,Y
LP002467,IP43458,3708,2569,Urban,N
LP002472,IP43459,4354,0,Rural,Y
LP002473,IP43460,8334,0,Semiurban,N
LP002478,IP43461,2083,4083,Semiurban,Y
LP002484,IP43462,7740,0,Urban,Y
LP002487,IP43463,3015,2188,Rural,Y
LP002489,IP43464,5191,0,Semiurban,Y
LP002493,IP43465,4166,0,Semiurban,N
LP002494,IP43466,6000,0,Rural,Y
LP002500,IP43467,2947,1664,Urban,N
LP002501,IP43468,16692,0,Semiurban,Y
LP002502,IP43469,210,2917,Semiurban,Y
LP002505,IP43470,4333,2451,Urban,N
LP002515,IP43471,3450,2079,Semiurban,Y
LP002517,IP43472,2653,1500,Rural,N
LP002519,IP43473,4691,0,Semiurban,Y
LP002522,IP43474,2500,0,Urban,Y
LP002524,IP43475,5532,4648,Rural,Y
LP002527,IP43476,16525,1014,Rural,Y
LP002529,IP43477,6700,1750,Semiurban,Y
LP002530,IP43478,2873,1872,Semiurban,N
LP002531,IP43479,16667,2250,Semiurban,Y
LP002533,IP43480,2947,1603,Urban,N
LP002534,IP43481,4350,0,Rural,Y
LP002536,IP43482,3095,0,Rural,Y
LP002537,IP43483,2083,3150,Semiurban,Y
LP002541,IP43484,10833,0,Semiurban,Y
LP002543,IP43485,8333,0,Semiurban,Y
LP002544,IP43486,1958,2436,Rural,Y
LP002545,IP43487,3547,0,Rural,N
LP002547,IP43488,18333,0,Urban,N
LP002555,IP43489,4583,2083,Semiurban,Y
LP002556,IP43490,2435,0,Urban,N
LP002560,IP43491,2699,2785,Semiurban,Y
LP002562,IP43492,5333,1131,Urban,Y
LP002571,IP43493,3691,0,Rural,Y
LP002582,IP43494,17263,0,Semiurban,Y
LP002585,IP43495,3597,2157,Rural,N
LP002586,IP43496,3326,913,Semiurban,Y
LP002587,IP43497,2600,1700,Rural,Y
LP002588,IP43498,4625,2857,Urban,Y
LP002600,IP43499,2895,0,Semiurban,Y
LP002602,IP43500,6283,4416,Rural,N
LP002603,IP43501,645,3683,Rural,Y
LP002606,IP43502,3159,0,Semiurban,Y
LP002615,IP43503,4865,5624,Semiurban,Y
LP002618,IP43504,4050,5302,Rural,N
LP002619,IP43505,3814,1483,Semiurban,Y
LP002622,IP43506,3510,4416,Rural,Y
LP002624,IP43507,20833,6667,Urban,Y
LP002625,IP43508,3583,0,Urban,N
LP002626,IP43509,2479,3013,Urban,Y
LP002634,IP43510,13262,0,Urban,Y
LP002637,IP43511,3598,1287,Rural,N
LP002640,IP43512,6065,2004,Semiurban,Y
LP002643,IP43513,3283,2035,Urban,Y
LP002648,IP43514,2130,6666,Semiurban,N
LP002652,IP43515,5815,3666,Rural,N
LP002659,IP43516,3466,3428,Rural,Y
LP002670,IP43517,2031,1632,Semiurban,Y
LP002682,IP43518,3074,1800,Semiurban,N
LP002683,IP43519,4683,1915,Semiurban,N
LP002684,IP43520,3400,0,Rural,N
LP002689,IP43521,2192,1742,Semiurban,Y
LP002690,IP43522,2500,0,Semiurban,Y
LP002692,IP43523,5677,1424,Rural,Y
LP002693,IP43524,7948,7166,Rural,Y
LP002697,IP43525,4680,2087,Semiurban,N
LP002699,IP43526,17500,0,Rural,Y
LP002705,IP43527,3775,0,Semiurban,Y
LP002706,IP43528,5285,1430,Semiurban,Y
LP002714,IP43529,2679,1302,Semiurban,Y
LP002716,IP43530,6783,0,Semiurban,Y
LP002717,IP43531,1025,5500,Rural,Y
LP002720,IP43532,4281,0,Urban,Y
LP002723,IP43533,3588,0,Rural,N
LP002729,IP43534,11250,0,Semiurban,N
LP002731,IP43535,18165,0,Urban,Y
LP002732,IP43536,2550,2042,Rural,Y
LP002734,IP43537,6133,3906,Urban,Y
LP002738,IP43538,3617,0,Semiurban,Y
LP002739,IP43539,2917,536,Rural,N
LP002740,IP43540,6417,0,Rural,Y
LP002741,IP43541,4608,2845,Semiurban,Y
LP002743,IP43542,2138,0,Semiurban,N
LP002753,IP43543,3652,0,Semiurban,Y
LP002755,IP43544,2239,2524,Urban,Y
LP002757,IP43545,3017,663,Semiurban,Y
LP002767,IP43546,2768,1950,Rural,Y
LP002768,IP43547,3358,0,Semiurban,N
LP002772,IP43548,2526,1783,Rural,Y
LP002776,IP43549,5000,0,Semiurban,N
LP002777,IP43550,2785,2016,Rural,Y
LP002778,IP43551,6633,0,Rural,N
LP002784,IP43552,2492,2375,Rural,Y
LP002785,IP43553,3333,3250,Urban,Y
LP002788,IP43554,2454,2333,Urban,N
LP002789,IP43555,3593,4266,Rural,N
LP002792,IP43556,5468,1032,Semiurban,Y
LP002794,IP43557,2667,1625,Urban,Y
LP002795,IP43558,10139,0,Semiurban,Y
LP002798,IP43559,3887,2669,Semiurban,Y
LP002804,IP43560,4180,2306,Semiurban,Y
LP002807,IP43561,3675,242,Semiurban,Y
LP002813,IP43562,19484,0,Semiurban,Y
LP002820,IP43563,5923,2054,Rural,Y
LP002821,IP43564,5800,0,Semiurban,Y
LP002832,IP43565,8799,0,Urban,N
LP002833,IP43566,4467,0,Rural,Y
LP002836,IP43567,3333,0,Urban,Y
LP002837,IP43568,3400,2500,Rural,N
LP002840,IP43569,2378,0,Urban,N
LP002841,IP43570,3166,2064,Urban,N
LP002842,IP43571,3417,1750,Urban,Y
LP002847,IP43572,5116,1451,Urban,N
LP002855,IP43573,16666,0,Urban,Y
LP002862,IP43574,6125,1625,Semiurban,N
LP002863,IP43575,6406,0,Semiurban,N
LP002868,IP43576,3159,461,Urban,Y
LP002872,IP43577,3087,2210,Semiurban,N
LP002874,IP43578,3229,2739,Urban,Y
LP002877,IP43579,1782,2232,Rural,Y
LP002888,IP43580,3182,2917,Urban,Y
LP002892,IP43581,6540,0,Semiurban,Y
LP002893,IP43582,1836,33837,Urban,N
LP002894,IP43583,3166,0,Semiurban,Y
LP002898,IP43584,1880,0,Rural,N
LP002911,IP43585,2787,1917,Rural,N
LP002912,IP43586,4283,3000,Rural,N
LP002916,IP43587,2297,1522,Urban,Y
LP002917,IP43588,2165,0,Semiurban,Y
LP002925,IP43589,4750,0,Semiurban,Y
LP002926,IP43590,2726,0,Semiurban,N
LP002928,IP43591,3000,3416,Semiurban,Y
LP002931,IP43592,6000,0,Semiurban,N
LP002933,IP43593,9357,0,Semiurban,Y
LP002936,IP43594,3859,3300,Rural,Y
LP002938,IP43595,16120,0,Urban,Y
LP002940,IP43596,3833,0,Rural,Y
LP002941,IP43597,6383,1000,Rural,N
LP002943,IP43598,2987,0,Semiurban,N
LP002945,IP43599,9963,0,Rural,Y
LP002948,IP43600,5780,0,Urban,Y
LP002949,IP43601,416,41667,Urban,N
LP002950,IP43602,2894,2792,Rural,Y
LP002953,IP43603,5703,0,Urban,Y
LP002958,IP43604,3676,4301,Rural,Y
LP002959,IP43605,12000,0,Semiurban,Y
